项目,主题,问题类型,优先级,
期权风控,产品查询-订单薄查询：会员卖明细表中券商代码没有成功取值显示,缺陷,普通,
期权风控,产品查询-订单薄查询：会员明细表中券商名称显示不完整,缺陷,普通,
期权风控,产品查询-订单薄查询：查询出的十档信息中没包含当前订单的档位信息,缺陷,普通,
期权风控,产品查询-订单薄查询：申报剩余量较少时，申报剩余量柱形图无法点击,缺陷,普通,
期权风控,市场运行监测，图2中有两个公募基金的数据,缺陷,普通,
期权风控,市场运行监测中图5没有数据及日期默认值,缺陷,普通,
期权风控,添加暂停用户较多时，确认全部手动执行时无法点击“确定”按钮,缺陷,普通,
期权风控,数据管理在处理异常通知单时事务没提交导致一键暂停账户列表记录与数据库中不一致,缺陷,普通,
期权风控,一键暂停执行成功后下载提示框中下载路径不完全,缺陷,普通,
期权风控,机构、账户中交易情况页面的交易汇总表与柱形图数据统计有误,缺陷,普通,
期权风控,市场运行监控-机构，导出文件出错,缺陷,普通,
期权风控,分类投资者的个人账户交易查询中当日查询逻辑修改错误,缺陷,普通,
期权风控,分类投资者查询-个人账户交易统计市场部分类查询结果错误,缺陷,普通,
期权风控,待暂停账户列表中序号显示不完全,优化,低,
期权风控,市场运行监控自定义板块的证券列表需要增加序号并且显示所有记录,缺陷,普通,
期权风控,市场运行监控-机构、证券的自定义机构名称优化,优化,低,
期权风控,市场运行监控-证券的交易情况页面中指数图横坐标缺少时间标识,缺陷,普通,
期权风控,市场运行监控--机构、证券维度的自定义板块页面及功能建议保持一致,优化,低,
期权风控,市场运行监控-机构、证券自定义版块名称输入半角英文的单引号或者双引号会导致json解析错误,缺陷,普通,
期权风控,部署执行sh /sse/script/deploy.sh /sse/release/release_5.1.0.tar命令时出错,缺陷,普通,
期权风控,市场运行监控账户维度，交易情况页面数据统计不完整,缺陷,普通,
期权风控,产品查询-股票成交统计查询，数据类型转换出错,缺陷,普通,
期权风控,市场运行监控交易明细表数据显示不完全,优化,低,
期权风控,图表展示中当日查询结果有误,缺陷,普通,
期权风控,图表展示模块数据显示位数不一致,优化,普通,
期权风控,图表展示页面加载数据时间太长,优化,普通,
期权风控,市场运行监控交易明细表中前持股数合计数据不对,缺陷,普通,
期权风控,市场运行监控，交易明细表中主动买入（卖出）数量占该标的指定时间内的成交占比合计逻辑不清,缺陷,普通,
期权风控,市场运行监控点击交易明细最后一行弹出网页错误框,缺陷,普通,
期权风控,市场运行监控交易情况页面中交易情况表数据只加载一致，与柱形图数据不一致,缺陷,普通,
期权风控,图表展示中净额统计有误,缺陷,普通,
期权风控,图表展示中市场部分类查询，散户账户统计不完整,缺陷,普通,
期权风控,分类投资者成交分析市场部分类查询，数据查询结果有误，四舍五入处理不统一,缺陷,普通,
期权风控,市场行情监控用户、一码通交易情况数据加载不出来,缺陷,普通,
期权风控,分类投资者成交分析市场部分类查询，个人账户数据查询没有包含信用账户,缺陷,低,
期权风控,图表展示市场部分类查询结果四舍五入不统一,缺陷,普通,
期权风控,图表展示中跨天查询结果错误,缺陷,普通,
期权风控,V4.9.0_scripts.sql执行出错,缺陷,低,
期权风控,表WATCH_OBJECT 增加WATCH_OB_SUB_TYPE字段脚本应该在新增上证50成分股脚本后面,缺陷,低,
期权风控,期权风控-市场行情监控，导出问题,缺陷,普通,
期权风控,市场行情监控交易居前表查询后标题显示排序箭头,优化,低,
期权风控,市场行情交易情况表委撤比计算错误,缺陷,普通,
期权风控,市场行情交易情况表中问题汇总,缺陷,普通,
期权风控,市场行情监控账户数据情况表页面标题与需求不一致,缺陷,低,
期权风控,市场行情监控交易居前数据表委撤比计算错误,缺陷,普通,
期权风控,上证指数行情图的数字面板数据的格式没保留2位小数,优化,低,
期权风控,上证指数行情图的最高最低价的参考线取值错误,缺陷,低,
期权风控,市场行情监控的交易日格式不正确,优化,低,
期权风控,一码通居前数据表问题汇总,缺陷,普通,
期权风控,市场行情监控上证指数行情图没有数据情况数据都显示undefined,缺陷,低,
期权风控,市场监控行情上证指数左纵坐标没有显示名称,缺陷,低,
期权风控,市场行情监控日期为空可查询,缺陷,低,
期权风控,市场行情监控交易居前数据表主动净额未精确到两位小数,缺陷,低,
期权风控,市场行情监控问题汇总,缺陷,普通,
期权风控,参与查询选择账户持仓统计界面默认情况下标题显示不全,缺陷,普通,
期权风控,分类投资者成交分析买入卖出金额统计错误,缺陷,普通,
期权风控,分类投资者成交分析净买入排序时不应包含净卖出,缺陷,普通,
期权风控,大小非减持查询日志在选项框都不选择时候日志内容多了一个选项框,缺陷,普通,
期权风控,分类投资者成交分析页面缩小时候自适应标题看不清,缺陷,普通,
期权风控,参与者查询下成交详情与申报统计页面产品选择证券代码后再选择其他类型日志中多显示证券代码,缺陷,低,
期权风控,个股期权分类投资者查询证券各类投资者分类统计显现产品类型,缺陷,普通,
期权风控,分类投资者中保险公司账户交易日志内容标题错误,缺陷,普通,
期权风控,多股同列的日志的证券代码列的数据显示错误,缺陷,普通,
期权风控,参与者查询产品选择证券代码后再选择其他类型日志中多显示证券代码,缺陷,低,
期权风控,市场统计查询中优先股集中度统计页面查询日志多了冒号,其他,低,
期权风控,个股期权参与者页面账户与账户组期权组合持仓统计标题错误,缺陷,普通,
