项目,主题,问题类型,优先级,
EZEI重构,E010201_envcfg_88.patch内容有误,优化,普通,
EZEI重构,指令中心上线保障手册fast保证部分命令错误-T+1日中检查-t选项中间多了个空格,文档,低,
EZEI重构,期权全真环境RST581升级后下游风控系统登录失败，EzEI无详细登录消息记录,,低,
EZEI重构,nodeinfo配置文件基于E010201的临时修改-手册验证,文档,高,
EZEI重构,指令集群期权出入金cgw模块获取node_info.cfg配置IP错误,优化,低,
EZEI重构,E010201_envcfg_70.patch文件内容有误,优化,低,
EZEI重构,<<EzEI_MAL_升级部署手册>>评审意见,文档,普通,
EZEI重构,88环境指令中心上线手册验证问题,文档,普通,
EZEI重构,70部署手册70环境部署手册表解压路径错误,文档,普通,
EZEI重构,EzEI_E01010901版本70环境的E01010901_envcfg_70.patch文件内容有误,优化,低,
EZEI重构,指令中心上线保障手册fast保证部分命令错误,文档,普通,
EZEI重构,EzEI广播内存表maxItem与MTP模拟器实际数据量相差太大，会导致EzEI txn进程在收取MTP模拟器数据的过程中停止工作,缺陷,普通,
EZEI重构,重构版本期权收费流水功能DTP询价组保版本不可兼容,缺陷,普通,
EZEI重构,自动化部署单机回退至不存在的日期提示有误,优化,低,
EZEI重构,数据集群E010108期权主题数据配置与DTP后台不一致,,低,
EZEI重构,指令中心，使用showall工具时必须依赖于pubtopic共享内存创建,,低,
EZEI重构,menu C2页面显示的磁盘空间数据不准确,优化,低,
EZEI重构,数据集群系统关闭失败（尝试关闭次数超过2次）,缺陷,低,
EZEI重构,数据中心报文头中的UserIdT无法确认取值,优化,低,
EZEI重构,针对40灾备环境验证部署手册相关问题,文档,普通,
EZEI重构,LoadUserSvrConfig中nKeyCurIndex记数方式有误,,低,
EZEI重构,3位环境号不支持,其他,低,
EZEI重构,EZEI 读取DUMP文件时间过长，导致除router进程外的其他进程发生停止,缺陷,普通,
EZEI重构,加载实时监控消息时，实时小时加载时加载错误,,低,
EZEI重构,kafka中缺少next_check下一交易日参考文件检查消息,缺陷,高,
EZEI重构,EzEI/conf/pub/dtp/service.cfg中hhcm进程的Sec已被修改为20，该修改未合并到EzEI的E010201版本,其他,低,
EZEI重构,使用生产bcast_shr_mem.ini进行极限值测试未通过,其他,高,
EZEI重构,进程启动运行53秒Txn报获取路由信息失败,优化,普通,
EZEI重构,00环境调用Local API失败,缺陷,高,
EZEI重构,/Ftp/OUT_FILE/MTP/FINX配置项不存在,优化,低,
EZEI重构,回退手册验证：010106回退到00010803，dump文件未清除+input下文件未清理,文档,普通,
EZEI重构,<<EzEI_88运行操作日志.doc>>评审意见,文档,普通,
EZEI重构,E010107_88.patch.tar.gz 工具包基于E010106版本生成的环境差异信息有“E010107”字串,优化,普通,
EZEI重构,<<EzEI_MAL_升级部署手册>>评审意见,文档,普通,
EZEI重构,存储网管获取文件不校验flg文件的问题,优化,低,
EZEI重构,/sse/nop_16/EzEI/conf/app/rcp/application.ini参数值为空，进程rcproc启动失败,文档,低,
EZEI重构,监控EOS时，加载配置文件时，配置加载错误,缺陷,普通,
EZEI重构,moni进程监控，moni加载进程配置信息时，如果非第一台主机时，fast和szhq进程加载失败,缺陷,普通,
EZEI重构,E010106版本（数据集群）crontab backup时间修改问题,文档,普通,
EZEI重构,EzEI部分模块Arch_frame_error.h错误码表未加载,优化,低,
EZEI重构,rcproc进程错误日志中错误描述为“something wrong happend“,优化,低,
EZEI重构,data/input目录中无ocg_pwd.txt文件，相关错误日志中的错误描述不够清楚,优化,低,
EZEI重构,menu b4中启动已经启动了的进程，出现一行多余且错误的提示“Start  xx OK”,优化,低,
EZEI重构,“<< ASM012 EzEI重构版应用支持手册(流程卷)-20161026.doc>>第2章 数据集群”评审意见,文档,低,
EZEI重构,menu-d4操作与logs/menuyyyymmdd.list中的记录不符。,优化,低,
EZEI重构,menu d6没有清空备份文件,优化,低,
EZEI重构,node_info.cfg中注释#失效，注释行内容仍然起作用,优化,低,
EZEI重构,menu-a-1操作Check TransDate Files总是err,优化,低,
EZEI重构,针对应急方案需要加入监控进程的启停,文档,高,
EZEI重构,增加收费比对结果正确后的commlog日志信息,优化,低,
EZEI重构,MTP联测环境下，moni监测EzEI数据主题发布状态PN、NC主题的eos相关字段内容不符合预期,缺陷,高,
EZEI重构,ocg和出入金相关应急方案合并到流程卷,文档,高,
EZEI重构,监控配置手册需合并入用户手册,文档,高,
EZEI重构,请补充数据中心上线应急方案到流程卷,文档,高,
EZEI重构,fast相关配置需要写入用户手册,文档,高,
EZEI重构,旁路计算期权收费流水比对功能-补充多阶段部署方案,文档,普通,
EZEI重构,EzEI期权出入金登出响应消息头md5值字段错误,缺陷,高,
EZEI重构,使用./putFileToCsgw.sh 上传文件到网关，网关文件字节数和原文件不一致，变大,缺陷,普通,
EZEI重构,菜单启动rcproc出席进程异常退出,缺陷,高,
EZEI重构,DTP联测环境下，moni监测EzEI数据主题发布状态的eos相关字段内容不符合预期,缺陷,高,
EZEI重构,旁路计算期权收费流水比对功能-需要补充应急方案,文档,低,
EZEI重构,期权收费流水rcp的存储网关路径待更新为生产配置,缺陷,普通,
EZEI重构,《EzEI_Moni_配置说明.docx》修改建议,文档,普通,
EZEI重构,EZEI 通用接口自动化测试界面设计,需求变更,低,
EZEI重构,E010200 安装SQL server后无法安装升级,其他,低,
EZEI重构,指令中心E010200版本所有模块排查错误码表覆盖问题,缺陷,低,
EZEI重构,《实时消息平台接口规格说明书0518.docx》修改建议,文档,普通,
EZEI重构,期权出入金业务指令响应消息返回到中登Md5校验失败,缺陷,高,
EZEI重构,E010200_配置_向所有主机分发ocg_pwd.txt,优化,低,
EZEI重构,获取参考文件后，无法获取交易日期,缺陷,高,
EZEI重构,Moni监测下一交易日检查只支持UNIX存储网关，不支持VMS存储网关,缺陷,高,
EZEI重构,非法注释需要做代码优化,优化,普通,
EZEI重构,Moni监测用户指令两张表没有包含OCG信息,文档,低,
EZEI重构,E010200_手册_港股通系统应急切换手册（指令中心切换到老版本）,文档,低,
EZEI重构,E000116_配置_service.cfg内容节点号未调整至0059/0060/0049/0050,其他,低,
EZEI重构,E010200_手册_港股通系统回退手册（00环境回退到04环境）,文档,低,
EZEI重构,Moni监测港股通EzEI与OCG链路信息表的conn_state_dsc字段值不准确,优化,低,
EZEI重构,错误日志问题汇总,其他,低,
EZEI重构,SDC模拟器发送的出入金指令无响应，日志显示HHCM自动断开重连上游,缺陷,高,
EZEI重构,Moni监测错误日志出错信息不完备,优化,低,
EZEI重构,26360相关修改请合并到主线trunk,其他,低,
EZEI重构,收费流水打单过程生成收费流水文件数据不全,缺陷,高,
EZEI重构,收费流水模块中定时器函数抛错函数使用RAISE_ERROR,优化,普通,
EZEI重构,EzEI指令中心港股通OCG操作ITP上游主备切换，造成中登出入金指令无响应,缺陷,高,
EZEI重构,指令集群版本停止需要3次,优化,低,
EZEI重构,港股通系统密码文件无法上传存储网关,缺陷,普通,
EZEI重构,HHCM-03日志打印出的重连次数不稳定（9次左右）与最大重连次数不一致（10次）,缺陷,低,
EZEI重构,收费流水模块添加commlog日志信息,优化,低,
EZEI重构,EzEI E010103指令中心环境配置_检查_升级手册操作问题,文档,低,
EZEI重构,EzEI E010103上线部署手册操作问题,文档,低,
EZEI重构,"showall -sdclog命令的使用说明未添加到""ASM012 EzEI重构版应用支持手册(工具卷).doc""文档中",文档,低,
EZEI重构,showall解析logs/msglog20130327.txt落地的消息流水文件中无hhcmDTP的消息流水信息。,优化,低,
EZEI重构,文档缺失，缺失moni需要监控的参考文件说明,文档,低,
EZEI重构,EzEI监控指令业务统计数据格式与文档不符,文档,低,
EZEI重构,收费流水关于数据的流动性逻辑的逻辑修正,缺陷,高,
EZEI重构,收费流水生成文件，上传到存储网关要实时监控,需求变更,普通,
EZEI重构,EzEI/bin目录的crontab_app_stop.sh脚本没有落日志,优化,低,
EZEI重构,EzEI异常场景下，内存不再更新，moni会将旧的数据发送到kafka中,缺陷,低,
EZEI重构,"menu-D3提示"" begin to ftp get file """,优化,低,
EZEI重构,conf/node_info.cfg中配置相同的两行，启动后hhcm-00-P01日志提示“try to connect to host[0:]”,其他,低,
EZEI重构,EzEI进程正在运行，停止moni时删除内存失败。,缺陷,普通,
EZEI重构,客户端和EzEI连接正常，客户端能收到数据，状态查询结果为1,缺陷,普通,
EZEI重构,收费流水文件上传开关关闭后，出现操作日志的误报问题,缺陷,低,
EZEI重构,上线手册验证问题,文档,低,
EZEI重构,wo主题不落dump文件,其他,普通,
EZEI重构,EzEI E010103指令中心版本 日志出现乱码,其他,低,
EZEI重构,数据集群的代码评审的后续版本待修复内容【具体时间待定】,优化,低,
EZEI重构,多机自动化部署升级失败不能回退,优化,普通,
EZEI重构,为解决EzEI不能重连DTP所修改的配置未合并到主干,其他,普通,
EZEI重构,指令集群版本首次部署_88演练环境配置问题,文档,低,
EZEI重构,EzEI指令中心：关闭集群中某一主机，cgwRtHkx报错“change lststatus 3 state 0”,缺陷,低,
EZEI重构,showall工具增加中登出入金消息流水解析,缺陷,普通,
EZEI重构,指令中心从存储网关获取非指令中心的参考数据文件,需求变更,普通,
EZEI重构,指令集群版本首次部署方式不明确,其他,普通,
EZEI重构,EzEI E010100指令中心版本 架构测试,优化,低,
EZEI重构,EzEI指令中心：关闭集群中某一主机，另一主机报错“ReleaseOrdReqSlot: no found”,缺陷,低,
EZEI重构,EzEI指令中心：关闭集群中某一主机，另一主机报错“rcv new order seq back msgid 8 rcvseq 33007”,缺陷,低,
EZEI重构,EzEI指令中心：关闭集群中某一主机，另一主机报错“something wrong happened!”,缺陷,低,
EZEI重构,"EzEI指令中心：关闭集群中某一EzEI主机，menu关闭显示cgwRtHkx ""Stop fail""",缺陷,低,
EZEI重构,故障通知消息增加错误码与实现场景的文档,文档,低,
EZEI重构,指令中心出入金transNo（EZEI的流水号，从0开始递增）,缺陷,低,
EZEI重构,出入金注销(reqUserID返回参数不一致),缺陷,低,
EZEI重构,《实时消息平台接口规格说明书0517.docx》文档修改建议,文档,高,
EZEI重构,EzEI服务配置信息service_config发送频率与《实时消息平台接口规格说明书0517.docx》不一致,缺陷,高,
EZEI重构,fast和szhq的service.cfg配置文件结构与EzEI不一致，导致moni监控读取进程出错,缺陷,高,
EZEI重构,rcp/application.ini中配置SEND_FLAG_NODE=0不可关闭上传,缺陷,高,
EZEI重构,moni的ERR_DES_MAX配置项不生效,缺陷,低,
EZEI重构,对无数据的主题执行showall -bcno命令出错,其他,普通,
